"","uid","domainID","siteID","namedLocation","collectDate","sampleID","sampleCode","batchID","sampleCondition","laboratoryName","analysisDate","analyzedBy","sampleType","replicate","sampleVolumeFiltered","filterSize","percentFilterAnalyzed","analyte","analyteConcentration","plantAlgaeLabUnits","testMethod","method","acidTreatment","externalRemarks","externalLabDataQF","publicationDate","release","habitat"
"1","6db15ffd-2ee7-482c-b8f6-f4c7a35259db","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.1.P.1","A00000031212",NA,"condition ok","SIRFER Lab at University of Utah",2018-12-29,"a1rVWpE0V4zMCUk591/P0Q==","P","1",10,25,100,"phosphorus",167.32,"microgramsPerLiter","ICPMetalsLab_P_V1.2","Ivanov et al 2012",NA,NA,NA,"20221128T175724Z","RELEASE-2023","EPI"
"2","536fff7b-fa33-42b0-86cd-aca973a5a4eb","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.5.P.1","A00000031235",NA,"condition ok","SIRFER Lab at University of Utah",2018-12-29,"a1rVWpE0V4zMCUk591/P0Q==","P","1",5,25,100,"phosphorus",553.8,"microgramsPerLiter","ICPMetalsLab_P_V1.2","Ivanov et al 2012",NA,NA,NA,"20221128T175724Z","RELEASE-2023","EPI"
"3","32281af6-2cec-4025-bdb7-e20e2d57f01a","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.2.P.1","A00000031210",NA,"condition ok","SIRFER Lab at University of Utah",2018-12-29,"a1rVWpE0V4zMCUk591/P0Q==","P","1",10,25,100,"phosphorus",282.26,"microgramsPerLiter","ICPMetalsLab_P_V1.2","Ivanov et al 2012",NA,NA,NA,"20221128T175724Z","RELEASE-2023","EPI"
"4","2c290ffb-82b1-4ab4-b219-39461be36246","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.8.P.1","A00000031233",NA,"condition ok","SIRFER Lab at University of Utah",2018-12-29,"a1rVWpE0V4zMCUk591/P0Q==","P","1",5,25,100,"phosphorus",571.72,"microgramsPerLiter","ICPMetalsLab_P_V1.2","Ivanov et al 2012",NA,NA,NA,"20221128T175724Z","RELEASE-2023","EPI"
"5","93b9a808-021e-45aa-9d96-27223c1cbad7","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.3.P.1","A00000031266",NA,"condition ok","SIRFER Lab at University of Utah",2018-12-29,"a1rVWpE0V4zMCUk591/P0Q==","P","1",5,25,100,"phosphorus",1186.12,"microgramsPerLiter","ICPMetalsLab_P_V1.2","Ivanov et al 2012",NA,NA,NA,"20221128T175724Z","RELEASE-2023","EPI"
"6","ab1ba812-9f72-4799-9b68-7fc204295b6b","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.6.P.1","A00000031236",NA,"condition ok","SIRFER Lab at University of Utah",2018-12-29,"a1rVWpE0V4zMCUk591/P0Q==","P","1",4,25,100,"phosphorus",921.33,"microgramsPerLiter","ICPMetalsLab_P_V1.2","Ivanov et al 2012",NA,NA,NA,"20221128T175724Z","RELEASE-2023","EPI"
"7","b72ce229-1f35-4e4b-b32a-9a31c558e6dc","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.4.P.1","A00000031263",NA,"condition ok","SIRFER Lab at University of Utah",2018-12-29,"a1rVWpE0V4zMCUk591/P0Q==","P","1",10,25,100,"phosphorus",356.21,"microgramsPerLiter","ICPMetalsLab_P_V1.2","Ivanov et al 2012",NA,NA,NA,"20221128T175724Z","RELEASE-2023","EPI"
"8","b39e3113-5c26-4faf-88c8-d18c88d4f292","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.7.P.1","A00000031234",NA,"condition ok","SIRFER Lab at University of Utah",2018-12-29,"a1rVWpE0V4zMCUk591/P0Q==","P","1",5,25,100,"phosphorus",348.86,"microgramsPerLiter","ICPMetalsLab_P_V1.2","Ivanov et al 2012",NA,NA,NA,"20221128T175724Z","RELEASE-2023","EPI"
"9","4d8596d3-c073-4bb8-9fe1-53b56a29cddc","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.6.CNSA.1","A00000031254",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"nitrogen",11345.14,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a",NA,NA,NA,"20221128T175724Z","RELEASE-2023","EPI"
"10","9fbf7d33-fc33-468d-b8df-d4370c792129","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.5.CNSA.1","A00000031265",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"carbon",69628.87,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","N",NA,NA,"20221128T175724Z","RELEASE-2023","EPI"
"11","2d9569c5-da07-43fc-bcdd-92b1b585f2e4","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.7.CNSA.1","A00000031253",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"nitrogen",4277.97,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a",NA,NA,NA,"20221128T175724Z","RELEASE-2023","EPI"
